News Article	 || 			polarity			 || 																																			"match"																												 || 																							"News Description/Content"

1				 || 			Negative			 || 			"nullLast, fall, Facebook, announced, a, preview, for, its, cloud, gaming, service, and, today, Facebook, is, updating, its, cloud, gaming, efforts, with, expanded, coverage, and, a, new, injection, of, content, from, Ubisoft, rnIni"			 || 			"Last fall, Facebook announced a preview for its cloud gaming service, and today, Facebook is updating its cloud gaming efforts with expanded coverage and a new injection of content from Ubisoft.rnIni "
483				 || 			Positive			 || 			"nullIf, you, build, it, they, will, come, the, famous, quote, from, A, Field, of, Dreams, goes, an, ideology, that, works, both, for, baseball, fields, and, in, the, case, of, a, TikToker, named, Brently, getting, a, group, of, new, fri"			 || 			"If you build it, they will come, the famous quote from A Field of Dreams goes, an ideology that works both for baseball fields and, in the case of a TikToker named Brently, getting a group of new fri "
484				 || 			Negative			 || 			"nullNew, Brunswicks, active, COVID19, case, count, is, back, on, the, decline, as, no, new, cases, have, been, reported, on, Sunday, rnAccording, to, the, COVID19, dashboard, since, Saturday, four, people, have, recovered, from, t"			 || 			"New Brunswicks active COVID19 case count is back on the decline, as no new cases have been reported on Sunday.rnAccording to the COVID19 dashboard, since Saturday, four people have recovered from t "
485				 || 			Neutral			 || 			"nullNew, Brunswick, is, reporting, seven, new, cases, of, COVID19, after, a, nineday, streak, with, none, rnPublic, Health, says, all, the, new, cases, are, related, to, travel, rnRead, more:, rn1, or, 2, metres:, Should, Canada, chan"			 || 			"New Brunswick is reporting seven new cases of COVID19, after a nineday streak with none.rnPublic Health says all the new cases are related to travel.rnRead more: rn1 or 2 metres: Should Canada chan "
486				 || 			Neutral			 || 			"nullNew, Brunswick, is, reporting, the, provinces, 46th, COVID19, related, death, as, well, as, one, new, case, on, Sunday, as, 21, active, cases, remain, in, the, province, rnPublic, health, officials, say, an, individual, over, th"			 || 			"New Brunswick is reporting the provinces 46th COVID19 related death, as well as one new case on Sunday, as 21 active cases remain in the province.rnPublic health officials say an individual over th "
487				 || 			Neutral			 || 			"nullJul, 4, 2021, Buffalo, New, York, USA, Toronto, Blue, Jays, pitcher, Robbie, Ray, (38), delivers, a, pitch, during, the, first, inning, against, the, Tampa, Bay, Rays, at, Sahlen, Field, Gregory, FisherUSA, TODAY, Sports2021"			 || 			"Jul 4, 2021 Buffalo, New York, USA Toronto Blue Jays pitcher Robbie Ray (38) delivers a pitch during the first inning against the Tampa Bay Rays at Sahlen Field. Gregory FisherUSA TODAY Sports2021 "
488				 || 			Neutral			 || 			"nullBy, Reuters, Staffrn, Canadian, dollar, strengthens, 0, 2, against, the, greenbackrn, Price, of, U, S, oil, rise, 0, 1rn, Canadian, bond, yields, were, little, changed, across, the, curvernTORONTO, July, 26, (Reuters)"			 || 			"By Reuters Staffrn Canadian dollar strengthens 0.2 against the greenbackrn  Price of U.S. oil rise 0.1rn  Canadian bond yields were little changed across the curvernTORONTO, July 26 (Reuters)   "
489				 || 			Negative			 || 			"nullBy, Reuters, Staffrn, Canadian, dollar, weakens, 1, 1, against, the, greenbackrn, Loonie, touches, its, weakest, level, since, Feb, 5, at, 1, 2807rn, Price, of, U, S, oil, falls, 3, 5rn, Canadian, 10year, yield, touches"			 || 			"By Reuters Staffrn Canadian dollar weakens 1.1 against the greenbackrn  Loonie touches its weakest level since Feb. 5 at 1.2807rn  Price of U.S. oil falls 3.5rn  Canadian 10year yield touches  "
490				 || 			Negative			 || 			"null(New, throughout, updates, prices, market, activity, and, addsrncomment, from, strategist)rn, Canadian, dollar, falls, 0, 4, against, the, greenbackrn, Price, of, U, S, oil, settles, 0, 4, lowerrn, Canadian, bond, yie"			 || 			"(New throughout, updates prices, market activity and addsrncomment from strategist)rn  Canadian dollar falls 0.4 against the greenbackrn  Price of U.S. oil settles 0.4 lowerrn  Canadian bond yie "
491				 || 			Positive			 || 			"nullBy, Reuters, StaffrnJune, 28, (Reuters), Canadas, main, stock, index, hit, a, record, high, in, early, trade, on, Monday, with, technology, stocks, leading, gains, tracking, Nasdaq, rn, At, 9:30, a, m, ET, (13:30, GMT), the, To"			 || 			"By Reuters StaffrnJune 28 (Reuters)  Canadas main stock index hit a record high in early trade on Monday, with technology stocks leading gains tracking Nasdaq.rn At 9:30 a.m. ET (13:30 GMT), the To "
492				 || 			Negative			 || 			"nullBy, Reuters, StaffrnJuly, 8, (Reuters), Canadas, main, stock, index, opened, lower, on, Thursday, weighed, by, a, drop, in, energy, stocks, as, crude, prices, extended, losses, on, supply, uncertainty, rn, At, 9:33, a, m, ET, (1"			 || 			"By Reuters StaffrnJuly 8 (Reuters)  Canadas main stock index opened lower on Thursday, weighed by a drop in energy stocks as crude prices extended losses on supply uncertainty.rn At 9:33 a.m. ET (1 "
493				 || 			Positive			 || 			"nullTORONTO, June, 28, (Reuters), Soaring, earnings, growth, prospects, for, Canadas, main, stock, index, have, raised, portfolio, managers, confidence, that, the, commoditylinked, markets, move, to, a, record, high, is, justif"			 || 			"TORONTO, June 28 (Reuters)  Soaring earnings growth prospects for Canadas main stock index have raised portfolio managers confidence that the commoditylinked markets move to a record high is justif "
494				 || 			Negative			 || 			"nullTORONTO, July, 13, (Reuters), Canadian, municipalities, reeling, from, a, pandemicdriven, hit, to, revenues, are, facing, an, added, blow, from, surging, liability, insurance, costs, forcing, them, to, raise, property, tax"			 || 			"TORONTO, July 13 (Reuters)  Canadian municipalities reeling from a pandemicdriven hit to revenues are facing an added blow from surging liability insurance costs, forcing them to raise property tax "
495				 || 			Negative			 || 			"nullAmid, the, chaos, of, the, COVID19, pandemic, and, the, murky, path, to, profitability, for, shared, electric, micromobility, an, increasing, number, of, companies, have, turned, to, subscriptions, Its, a, business, model, th"			 || 			"Amid the chaos of the COVID19 pandemic and the murky path to profitability for shared electric micromobility, an increasing number of companies have turned to subscriptions. Its a business model th "
496				 || 			Neutral			 || 			"nullNotCo, a, food, technology, company, making, plantbased, milk, and, meat, replacements, wrapped, up, another, funding, round, this, year, a, 235, million, Series, D, round, that, gives, it, a, 1, 5, billion, valuation, rnTige"			 || 			"NotCo, a food technology company making plantbased milk and meat replacements, wrapped up another funding round this year, a 235 million Series D round that gives it a 1.5 billion valuation.rnTige "
497				 || 			Positive			 || 			"nullEcommerce, saw, a, massive, surge, of, activity, and, growth, in, 2020, and, while, we, may, hear, a, lot, about, how, big, companies, like, Amazon, got, even, bigger, during, the, Covid19, pandemic, that, rising, tide, also, lift"			 || 			"Ecommerce saw a massive surge of activity and growth in 2020 and while we may hear a lot about how big companies like Amazon got even bigger during the Covid19 pandemic, that rising tide also lift "
498				 || 			Positive			 || 			"nullStar, Wars, Indiana, Jones, RoboCop, Jurassic, Park, These, films, and, franchises, will, live, forever, and, they, attained, those, heights, with, a, little, help, from, Phil, Tippettone, of, the, most, legendary, visual, ef"			 || 			"Star Wars. Indiana Jones. RoboCop. Jurassic Park. These films and franchises will live forever, and they attained those heights with a little help from Phil Tippettone of the most legendary visual ef "
499				 || 			Neutral			 || 			"nullBy, Justin, RowlattChief, environment, correspondentrnmedia, captionWatch:, Canadians, say, the, conditions, are, unbearablernNorth, America, experienced, its, warmest, June, on, record, according, to, the, EUs, Earth"			 || 			"By Justin RowlattChief environment correspondentrnmedia captionWatch: Canadians say the conditions are unbearablernNorth America experienced its warmest June on record, according to the EUs Earth  "
500				 || 			Neutral			 || 			"nullAround, July, 4, 1054, Chinese, astronomers, recorded, a, guest, star, that, shone, so, brightly, it, was, visible, in, broad, daylight, for, 23, days, The, remnants, of, that, longago, supernova, now, form, the, Crab, Nebula"			 || 			"Around July 4, 1054, Chinese astronomers recorded a guest star that shone so brightly, it was visible in broad daylight for 23 days. The remnants of that longago supernova now form the Crab Nebula "
501				 || 			Positive			 || 			"nullBat, biologists, like, Dan, Feller, get, excited, every, year, for, the, summer, field, work, season, a, time, to, get, out, of, the, office, and, into, the, forest, in, search, of, their, quarryin, this, case, the, 10, species, that"			 || 			"Bat biologists like Dan Feller get excited every year for the summer field work season, a time to get out of the office and into the forest in search of their quarryin this case, the 10 species that  "
502				 || 			Negative			 || 			"nullThe, University, of, Tokyo, Edge, Capital, Partners, (UTEC), is, launching, a, new, program, to, address, a, problem, the, venture, capital, fund, says, many, deeptech, founders, face, They, may, raise, preseed, capital, from, a"			 || 			"The University of Tokyo Edge Capital Partners (UTEC) is launching a new program to address a problem the venture capital fund says many deeptech founders face. They may raise preseed capital from a "
503				 || 			Neutral			 || 			"nullIMAGE:The, interactive, map, shows, the, widespread, race, and, class, disparities, in, extreme, summer, surface, temperatures, across, the, United, States, This, map, only, shows, counties, with, more, than, 10, census, tract"			 || 			"IMAGE:The interactive map shows the widespread race and class disparities in extreme summer surface temperatures across the United States. This map only shows counties with more than 10 census tract "
504				 || 			Neutral			 || 			"nullThe, World, Health, Organization, (WHO), released, two, reports, Monday, providing, recommendations, to, governments, and, health, officials, regarding, the, controversial, practice, of, human, genome, editing, rnHuman, geno"			 || 			"The World Health Organization (WHO) released two reports Monday providing recommendations to governments and health officials regarding the controversial practice of human genome editing.rnHuman geno "
505				 || 			Positive			 || 			"nullA, team, of, researchers, from, the, Institute, for, Big, Data, Analytics, at, Dalhousie, University, has, secured, gold, at, the, largest, artificial, intelligence, soccer, competition, highlighting, Canadian, AI, innovation"			 || 			"A team of researchers from the Institute for Big Data Analytics at Dalhousie University has secured gold at the largest artificial intelligence soccer competition, highlighting Canadian AI innovation "
506				 || 			Negative			 || 			"nullChrisie, Servanez, had, been, told, what, to, expect, of, her, new, home, in, Canada, rnIt, was, remote, There, would, be, no, public, transit, Stores, close, by, 7, p, m, rnStill, it, couldnt, be, that, bad, thought, the, migrant"			 || 			"Chrisie Servanez had been told what to expect of her new home in Canada.rnIt was remote. There would be no public transit. Stores close by 7 p.m.rnStill, it couldnt be that bad, thought the migrant  "
507				 || 			Negative			 || 			"nullCape, Breton, University, will, be, requiring, students, staying, in, residence, this, fall, to, have, received, two, doses, of, COVID19, vaccine, the, only, university, in, Nova, Scotiathat, is, putting, in, the, measure, rnSt"			 || 			"Cape Breton University will be requiring students staying in residence this fall to have received two doses of COVID19 vaccine, the only university in Nova Scotiathat is putting in the measure.rnSt "
508				 || 			Positive			 || 			"nullFully, vaccinated, Canadians, are, allowed, to, come, to, Nova, Scotia, without, any, selfisolation, requirements, but, at, least, one, South, Shore, resort, isnt, ready, to, welcome, them, with, open, arms, rnWhite, Point, Bea"			 || 			"Fully vaccinated Canadians are allowed to come to Nova Scotia without any selfisolation requirements, but at least one South Shore resort isnt ready to welcome them with open arms.rnWhite Point Bea "
509				 || 			Negative			 || 			"nullHALIFAX, rnNova, Scotia, is, reporting, two, new, cases, of, COVID19, on, Friday, as, it, touts, its, vaccination, efforts, in, the, province, where, almost, 56, per, cent, of, people, are, fully, vaccinated, rnPublic, health"			 || 			"HALIFAX  rnNova Scotia is reporting two new cases of COVID19 on Friday, as it touts its vaccination efforts in the province where almost 56 per cent of people are fully vaccinated.rnPublic health  "
510				 || 			Neutral			 || 			"nullHALIFAX, rnNova, Scotia, Premier, Iain, Rankin, has, called, a, provincial, election, for, Aug, 17, saying, the, campaign, will, focus, on, building, the, economy, after, the, province, crushed, the, third, wave, of, the, CO"			 || 			"HALIFAX  rnNova Scotia Premier Iain Rankin has called a provincial election for Aug. 17, saying the campaign will focus on building the economy after the province crushed the third wave of the CO "
511				 || 			Positive			 || 			"nullEDMONTON, rnOutrage, directed, at, the, Catholic, Church, for, its, role, in, Canadas, residential, school, system, continues, with, more, churches, allegedly, set, ablaze, and, faithful, followers, questioning, their, loy"			 || 			"EDMONTON  rnOutrage directed at the Catholic Church for its role in Canadas residential school system continues, with more churches allegedly set ablaze and faithful followers questioning their loy "
512				 || 			Neutral			 || 			"nullHowever, Canadians, who, want, to, travel, to, the, U, S, still, dont, know, when, or, how, theyll, be, able, to, do, so, rnAnja, KaradeglijarnAs, the, Canadian, government, outlined, its, plans, to, relax, border, rules, when, and"			 || 			"However, Canadians who want to travel to the U.S. still dont know when or how theyll be able to do so rnAnja KaradeglijarnAs the Canadian government outlined its plans to relax border rules, when and "
513				 || 			Neutral			 || 			"nullThere, are, so, many, incredible, names, in, hockey, history:, Larry, Playfair, Tony, Twist, Hakan, Loob, Dit, Clapper, Miroslav, Satan, Radek, Bonk, Jan, Bulis, rnThey, say, in, hockey, that, you, play, for, the, logo, on, the"			 || 			"There are so many incredible names in hockey history: Larry Playfair. Tony Twist. Hakan Loob. Dit Clapper. Miroslav Satan. Radek Bonk. Jan Bulis.rnThey say in hockey that you play for the logo on the "
514				 || 			Positive			 || 			"nullVials, of, the, Sputnik, COVID19, vaccine, pass, along, a, production, line, at, a, manufacturing, facility, near, Saint, Petersburg, Russia, Credit:, Olga, Maltseva/AFP/GettyrnRussias, COVID19, vaccine, Sputnik, has, be"			 || 			"Vials of the Sputnik COVID19 vaccine pass along a production line at a manufacturing facility near Saint Petersburg, Russia.Credit: Olga Maltseva/AFP/GettyrnRussias COVID19 vaccine, Sputnik, has be "
515				 || 			Negative			 || 			"nullBeginning, in, early, August, people, who, want, to, go, to, a, restaurant, bar, or, movie, theatre, or, take, a, train, in, France, will, have, to, show, proof, of, vaccination, or, a, negative, COVID19, test, before, they, enter"			 || 			"Beginning in early August, people who want to go to a restaurant, bar, or movie theatre or take a train in France will have to show proof of vaccination or a negative COVID19 test before they enter. "
516				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, will, move, into, the, Green, phase, of, its, recovery, plan, on, July, 30, lifting, all, public, health, restrictions, and, opening, the, province, to, travel, Premier, Blaine, Higgs, announced, Fr"			 || 			"HALIFAX  rnNew Brunswick will move into the Green phase of its recovery plan on July 30, lifting all public health restrictions and opening the province to travel, Premier Blaine Higgs announced Fr "
517				 || 			Neutral			 || 			"nullli1, Castro, Neto, A, H, Guinea, F, Peres, N, M, R, Novoselov, K, S, amp, Geim, A, K, The, electronic, properties, of, graphene, Rev, Mod, Phys, 81, 109162, (2009), rnADSrn, CASrnGoogle, Scholarrn/li"			 || 			"li1.Castro Neto, A. H., Guinea, F., Peres, N. M. R., Novoselov, K. S. amp Geim, A. K. The electronic properties of graphene. Rev. Mod. Phys. 81, 109162 (2009).rnADSrn CASrnGoogle Scholarrn/li "
518				 || 			Neutral			 || 			"nullMONCTON, N, B, rnPrime, Minister, Justin, Trudeau, says, his, government, is, withholding, healthcare, transfers, to, New, Brunswick, because, the, province, is, limiting, access, to, abortion, rnTrudeau, told, reporters"			 || 			"MONCTON, N.B  rnPrime Minister Justin Trudeau says his government is withholding healthcare transfers to New Brunswick because the province is limiting access to abortion.rnTrudeau told reporters  "
519				 || 			Negative			 || 			"nullA, Monctonbased, construction, company, is, struggling, to, find, workers, so, much, so, that, its, hiring, employees, with, no, experience, or, prior, training, rnIts, the, worst, Ive, seen, in, 28, years, actually, sa"			 || 			"A Monctonbased construction company is struggling to find workers  so much so that its hiring employees with no experience or prior training.rnIts the worst Ive seen in 28 years, actually, sa "
520				 || 			Neutral			 || 			"nullJuly, 21, (Reuters), Giannis, and, Thanasis, Antetokounmpo, became, NBA, champions, on, Tuesday, with, the, Milwaukee, Bucks, putting, them, level, with, younger, brother, Kostas, and, making, them, the, first, trio, of, broth"			 || 			"July 21 (Reuters)  Giannis and Thanasis Antetokounmpo became NBA champions on Tuesday with the Milwaukee Bucks, putting them level with younger brother Kostas and making them the first trio of broth "
521				 || 			Positive			 || 			"nullPeople, wait, in, line, for, resume, critique, and, career, assessment, sessions, at, the, 2014, Spring, National, Job, Fair, and, Training, Expo, in, Toronto, April, 3, 2014, REUTERS/Aaron, HarrisOTTAWA, July, 9, (Reuters)"			 || 			"People wait in line for resume critique and career assessment sessions at the 2014 Spring National Job Fair and Training Expo in Toronto, April 3, 2014. REUTERS/Aaron HarrisOTTAWA, July 9 (Reuters)  "
522				 || 			Negative			 || 			"nullBy, Reuters, StaffrnJuly, 19, (Reuters), Canadas, main, stock, index, opened, lower, on, Monday, dragged, down, by, a, 4, 5, drop, in, energy, stocks, as, crude, prices, retreated, after, an, OPEC, decision, to, boost, output, r"			 || 			"By Reuters StaffrnJuly 19 (Reuters)  Canadas main stock index opened lower on Monday, dragged down by a 4.5 drop in energy stocks as crude prices retreated after an OPEC decision to boost output.r "
523				 || 			Positive			 || 			"nullBy, Reuters, StaffrnJuly, 23, (Reuters), Canadas, main, stock, index, opened, higher, on, Friday, driven, by, energy, stocks, and, was, set, to, post, a, weekly, gain, while, Air, Canada, reported, a, biggerthanexpected, qu"			 || 			"By Reuters StaffrnJuly 23 (Reuters)  Canadas main stock index opened higher on Friday, driven by energy stocks, and was set to post a weekly gain, while Air Canada reported a biggerthanexpected qu "
524				 || 			Positive			 || 			"nullTikTok, announced, this, morning, its, expanding, its, TikTok, LIVE, platform, which, today, allows, creators, livestream, to, fans, while, also, responding, to, viewer, comments, and, questions, and, accept, virtual, gifts"			 || 			"TikTok announced this morning its expanding its TikTok LIVE platform which today allows creators livestream to fans, while also responding to viewer comments and questions, and accept virtual gifts. "
525				 || 			Positive			 || 			"nullLiveUpdatedJuly, 7, 2021, 5:02, a, m, ETrnJuly, 7, 2021, 5:02, a, m, ETrnIsrael, reported, that, the, Pfizer, vaccine, was, 64, percent, effective, against, the, Delta, variant, even, as, other, studies, suggest, a, higher"			 || 			"LiveUpdatedJuly 7, 2021, 5:02 a.m. ETrnJuly 7, 2021, 5:02 a.m. ETrnIsrael reported that the Pfizer vaccine was 64 percent effective against the Delta variant, even as other studies suggest a higher  "
526				 || 			Neutral			 || 			"nullimage, captionWildfires, were, also, spotted, in, Central, Okanaga, British, ColumbiarnA, wildfire, has, forced, the, evacuation, of, the, Canadian, village, of, Lytton, a, day, after, it, recorded, the, countrys, highest, eve"			 || 			"image captionWildfires were also spotted in Central Okanaga, British ColumbiarnA wildfire has forced the evacuation of the Canadian village of Lytton a day after it recorded the countrys highest eve "
527				 || 			Neutral			 || 			"nullimage, captionPresident, Alberto, Fernndez, (centre), unveiled, the, new, ID, cards, at, an, event, in, the, capital, Buenos, AiresrnArgentina, has, unveiled, a, new, national, identity, system, for, people, who, identify, as"			 || 			"image captionPresident Alberto Fernndez (centre) unveiled the new ID cards at an event in the capital, Buenos AiresrnArgentina has unveiled a new national identity system for people who identify as  "
528				 || 			Negative			 || 			"null(CNN), Planning, travel, this, summer, is, a, lot, like, struggling, through, high, school, math, rnTheres, the, algebra, of, restrictions, when, X, into, Y, cant, go, There, are, the, rising, and, falling, R, numbers, Theres"			 || 			"(CNN) Planning travel this summer is a lot like struggling through high school math.rnTheres the algebra of restrictions, when X into Y cant go. There are the rising and falling R numbers. Theres  "
529				 || 			Negative			 || 			"nullOne, problem, with, our, electric, vehicle, future, is, the, need, for, ubiquitous, easytouse, charging, points, all, over, the, world, After, all, the, only, way, to, avoid, range, and, linesatthecharger, anxiety, is, to"			 || 			"One problem with our electric vehicle future is the need for ubiquitous, easytouse charging points all over the world. After all, the only way to avoid range and linesatthecharger anxiety is to  "
530				 || 			Neutral			 || 			"nullThis, story, originally, appeared, on, Atlas, Obscuraand, is, part, of, theClimate, Deskcollaboration, rnPeople, dont, come, to, Denali, and, other, parks, in, Alaska, to, look, at, bumblebees, but, they, should, says, Jessic"			 || 			"This story originally appeared on Atlas Obscuraand is part of theClimate Deskcollaboration.rnPeople dont come to Denali and other parks in Alaska to look at bumblebees, but they should, says Jessic "
531				 || 			Positive			 || 			"nullIm, generally, happy, to, see, expansions, of, free, use, but, Im, a, little, bitter, when, they, end, up, benefiting, massive, corporations, who, are, extracting, value, from, smaller, authors, work, en, masse, Woods, says, rnOne"			 || 			"Im generally happy to see expansions of free use, but Im a little bitter when they end up benefiting massive corporations who are extracting value from smaller authors work en masse, Woods says.rnOne "
532				 || 			Negative			 || 			"nullThe, U, S, Department, of, Justice, (DOJ), has, filed, seven, new, charges, against, Paige, Thompson, the, former, Amazon, Web, Services, (AWS), engineer, accused, of, hacking, Capital, One, and, stealing, the, personal, data, of"			 || 			"The U.S. Department of Justice (DOJ) has filed seven new charges against Paige Thompson, the former Amazon Web Services (AWS) engineer accused of hacking Capital One and stealing the personal data of "
533				 || 			Positive			 || 			"nullDeepMind, stunned, the, biology, world, late, last, year, when, its, AlphaFold2, AI, model, predicted, the, structure, of, proteins, (a, common, and, very, difficult, problem), so, accurately, that, many, declared, the, decadeso"			 || 			"DeepMind stunned the biology world late last year when its AlphaFold2 AI model predicted the structure of proteins (a common and very difficult problem) so accurately that many declared the decadeso "
534				 || 			Positive			 || 			"nullOnline, learning, continues, to, see, a, huge, boost, of, attention, and, use, in, the, wake, of, the, Covid19, pandemic, and, today, a, startup, building, tools, specifically, for, enterprises, to, deliver, on, their, internal, e"			 || 			"Online learning continues to see a huge boost of attention and use in the wake of the Covid19 pandemic, and today a startup building tools specifically for enterprises to deliver on their internal e "
535				 || 			Negative			 || 			"nullRecent, research, from, Canada, seems, to, show, that, wildfires, can, continue, to, hurt, the, lungs, of, firefighters, for, years, after, theyve, burnt, out, The, study, found, that, first, responders, who, combated, the, Fort, M"			 || 			"Recent research from Canada seems to show that wildfires can continue to hurt the lungs of firefighters for years after theyve burnt out. The study found that first responders who combated the Fort M "
536				 || 			Positive			 || 			"nullJessica, Lundeen, centre, waits, in, line, with, her, two, kids, Austin, Lundeen, 12, right, and, Chantal, Lundeen, 14, before, receiving, their, COVID19, vaccine, at, Gordon, A, Brown, Middle, School, in, Toronto, on, May"			 || 			"Jessica Lundeen, centre, waits in line with her two kids Austin Lundeen, 12, right, and Chantal Lundeen, 14, before receiving their COVID19 vaccine at Gordon A Brown Middle School in Toronto on May  "
537				 || 			Positive			 || 			"nullVials, of, the, Sputnik, COVID19, vaccine, pass, along, a, production, line, at, a, manufacturing, facility, near, Saint, Petersburg, Russia, Credit:, Olga, Maltseva/AFP/GettyrnRussias, COVID19, vaccine, Sputnik, has, be"			 || 			"Vials of the Sputnik COVID19 vaccine pass along a production line at a manufacturing facility near Saint Petersburg, Russia.Credit: Olga Maltseva/AFP/GettyrnRussias COVID19 vaccine, Sputnik, has be "
538				 || 			Positive			 || 			"nullSpotted:Sustainable, design, startupWorkshopQhas, designed, and, created, 27, dustbins, in, India, using, recycled, plastic, The, initiative, aims, to, support, Nestle, IndiasHilldaariprogramme, which, focuses, on"			 || 			"Spotted:Sustainable design startupWorkshopQhas designed and created 27 dustbins in India using recycled plastic. The initiative aims to support Nestle IndiasHilldaariprogramme, which focuses on  "
539				 || 			Neutral			 || 			"nullHALIFAX, rnMore, than, 50, per, cent, of, New, Brunswickers, are, fully, vaccinated, as, the, province, inches, toward, achieving, its, 75, per, cent, goal, by, August, 2, rnThe, provinces, online, dashboard, shows, that, as, of"			 || 			"HALIFAX  rnMore than 50 per cent of New Brunswickers are fully vaccinated as the province inches toward achieving its 75 per cent goal by August 2.rnThe provinces online dashboard shows that as of "
540				 || 			Neutral			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, one, new, case, of, COVID19, on, Sunday, as, the, active, number, of, cases, in, the, province, rises, to, nine, rnThe, new, case, was, identified, in, the, provinces, Fredericton, re"			 || 			"HALIFAX  rnNew Brunswick is reporting one new case of COVID19 on Sunday, as the active number of cases in the province rises to nine.rnThe new case was identified in the provinces Fredericton re "
541				 || 			Negative			 || 			"nullFor, edtech, startups, its, always, been, easier, to, go, directtoconsumerthan, it, is, to, sell, into, school, districts, The, latter, has, stodgy, and, strict, sales, cycles, while, the, former, has, a, bit, more, flexibili"			 || 			"For edtech startups, its always been easier to go directtoconsumerthan it is to sell into school districts. The latter has stodgy and strict sales cycles, while the former has a bit more flexibili "
542				 || 			Positive			 || 			"nullCanada, now, has, enough, COVID19, vaccines, to, fully, vaccinate, all, eligible, Canadians, Prime, Minister, Justin, Trudeau, announced, Tuesday, during, a, stop, in, New, Brunswick, rnSpeaking, from, the, vaccine, clinic, at"			 || 			"Canada now has enough COVID19 vaccines to fully vaccinate all eligible Canadians, Prime Minister Justin Trudeau announced Tuesday during a stop in New Brunswick.rnSpeaking from the vaccine clinic at "
543				 || 			Neutral			 || 			"nullRecent, developments:rnulliOttawa, reported, five, more, COVID19, casesThursday, /li/ulWhats, the, latest?rnOttawa, Public, Health, (OPH), reported, fivemore, COVID19, cases, on, Canada, Day, butnomored"			 || 			"Recent developments:rnulliOttawa reported five more COVID19 casesThursday./li/ulWhats the latest?rnOttawa Public Health (OPH) reported fivemore COVID19 cases on Canada Day, butnomored "
544				 || 			Positive			 || 			"nullThe, health, minister, said, Friday, that, Alberta, physicians, in, regions, where, there, is, low, COVID19, vaccine, uptake, are, being, asked, to, help, boost, immunization, coverage, rnLast, Thursday, we, issued, a, med, bul"			 || 			"The health minister said Friday that Alberta physicians in regions where there is low COVID19 vaccine uptake are being asked to help boost immunization coverage.rnLast Thursday, we issued a med bul "
545				 || 			Negative			 || 			"nullOrganiGram, Holdings, Inc, (NASDAQ:OGI), Q3, 2021, Earnings, Conference, Call, July, 13, 2021, 8:00, AM, ETrnnCompany, ParticipantsrnnAmy, Schwalm, Vice, President, Investor, RelationsrnnDerrick, West, Chief, Financ"			 || 			"OrganiGram Holdings Inc. (NASDAQ:OGI) Q3 2021 Earnings Conference Call July 13, 2021 8:00 AM ETrnnCompany ParticipantsrnnAmy Schwalm  Vice President, Investor RelationsrnnDerrick West  Chief Financ "
546				 || 			Negative			 || 			"nullA, group, of, friends, visiting, Pictured, Rocks, National, Lakeshore, in, Michigans, Upper, Peninsula, witnessed, a, 200foot, chunk, of, a, sandstone, cliff, suddenly, break, off, and, collapse, into, the, waters, of, Lake, Supe"			 || 			"A group of friends visiting Pictured Rocks National Lakeshore in Michigans Upper Peninsula witnessed a 200foot chunk of a sandstone cliff suddenly break off and collapse into the waters of Lake Supe "
547				 || 			Neutral			 || 			"nullMONCTON, New, Brunswick(BUSINESS, WIRE)Organigram, Holdings, Inc, (Organigram, or, the, Company), (TSX:, OGI), (NASDAQ:, OGI), the, parent, company, of, Organigram, Inc, a, leading, producer, of, cannabis, is, pleas"			 || 			"MONCTON, New Brunswick(BUSINESS WIRE)Organigram Holdings Inc. (Organigram or the Company) (TSX: OGI) (NASDAQ: OGI), the parent company of Organigram Inc., a leading producer of cannabis, is pleas "
548				 || 			Negative			 || 			"nullJune, was, a, worrisome, month, for, us, as, we, received, our, second, vaccinations, and, watched, the, news, from, Halifax, and, Ottawa, regarding, changing, travel, regulations, rnNormally, we, leave, for, the, East, Coast, at, t"			 || 			"June was a worrisome month for us as we received our second vaccinations and watched the news from Halifax and Ottawa regarding changing travel regulations.rnNormally we leave for the East Coast at t "
549				 || 			Neutral			 || 			"nullBy, FIELD, LEVEL, MEDIArnThe, Dallas, Empire, pounced, on, the, previously, unbeaten, Toronto, Ultra, Sunday, to, claim, first, place, in, Group, B, on, the, final, day, of, groupstage, play, at, the, Call, of, Duty, Leagues, Stage"			 || 			"By FIELD LEVEL MEDIArnThe Dallas Empire pounced on the previously unbeaten Toronto Ultra Sunday to claim first place in Group B on the final day of groupstage play at the Call of Duty Leagues Stage  "
550				 || 			Negative			 || 			"null(Adds, dealer, quotes, and, details, throughout, updates, prices)rn, Canadian, dollar, weakens, 0, 3, against, the, greenbackrn, Loonie, trades, in, a, range, of, 1, 2287, to, 1, 2340rn, Price, of, U, S, oil, falls, 0, 5rn"			 || 			"(Adds dealer quotes and details throughout updates prices)rn  Canadian dollar weakens 0.3 against the greenbackrn  Loonie trades in a range of 1.2287 to 1.2340rn  Price of U.S. oil falls 0.5rn  "
